Risk ID,Risk Title,Risk Description,Risk Category,Sub-Category,Sector,Department / Unit,Project Name,Project Code,Project Phase,Process Group,Risk Owner,Stakeholder Group,Date Identified,Probability Rating,Impact Rating,Risk Score,Qualitative Notes,Quantitative Notes,Mitigation Strategy,Contingency Plan,Status,Review Date,Monitoring Method,Control Method,Documentation Link,Lessons Learned,Source (Primary / Secondary),Data Quality Flag,Primary RMS Step,RMS Step: Identification,RMS Step: Analysis – Qualitative,RMS Step: Analysis – Quantitative,RMS Step: Response Planning,RMS Step: Monitoring,RMS Step: Controlling,RMS Step: Documentation
R067,Improper grounding of racks,Grounding not compliant with electrical code,Electrical,Safety,Network Infrastructure,Electrical Works Team,Industrial Zone Connectivity,IZC-004,Implementation,Executing,Electrical Supervisor,Contractor,Week 8,High,High,9,Inspection found missing ground,,Install proper grounding,Retest compliance,Open,Week 9,Electrical inspection,Safety enforcement,https://docs.example.com/grounding-error,Grounding issue in 2020,Primary,High,Monitoring,,,,?,?,,?
R068,Power cable insulation failure,Insulation damaged during installation,Electrical,Quality,Network Infrastructure,Electrical Works Team,Industrial Zone Connectivity,IZC-004,Implementation,Executing,Electrical Supervisor,Contractor,Week 8,Medium,High,6,Visual inspection found damage,,Replace cable,Retest insulation,Open,Week 9,Cable testing,Quality enforcement,https://docs.example.com/cable-insulation,Failure in 2022,Primary,High,Controlling,,,,?,?,?,?
R069,Delay in electrical panel installation,Panels delivered late to site,Electrical,Logistics,Network Infrastructure,Electrical Works Team,Industrial Zone Connectivity,IZC-004,Implementation,Executing,Electrical Supervisor,Vendor,Week 8,Medium,Medium,4,Vendor shipment delayed,,Reschedule installation,Use backup panels,Open,Week 9,Delivery tracking,Logistics control,https://docs.example.com/panel-delay,Delay in 2021,Primary,Medium,Response Planning,,?,?,?,,?,
R070,Fiber splice loss above limit,High dB loss at splice points,Technical,Fiber,Network Infrastructure,Telecom Implementation Team,Industrial Zone Connectivity,IZC-004,Implementation,Executing,Telecom Supervisor,Contractor,Week 9,Medium,High,6,OTDR test shows high loss,Optical budget calc,Re-splice fibers,Replace connectors,Open,Week 10,Optical testing,Performance tuning,https://docs.example.com/splice-loss,Similar in 2020,Primary,High,Analysis – Quantitative,,?,?,,,?,
R071,GSM antenna misalignment,Antenna not aligned to design azimuth,Technical,GSM,Network Infrastructure,Telecom Implementation Team,Industrial Zone Connectivity,IZC-004,Implementation,Executing,Telecom Supervisor,Contractor,Week 9,Medium,High,6,Alignment check failed,,Realign antenna,Retest coverage,Open,Week 10,Signal testing,Quality enforcement,https://docs.example.com/antenna-misalignment,Misalignment in 2023,Primary,High,Controlling,,,,?,?,?,?
R072,Integration software bug,Software error during site integration,Technical,Integration,Network Infrastructure,Telecom Implementation Team,Industrial Zone Connectivity,IZC-004,Implementation,Executing,Telecom Supervisor,Vendor,Week 10,Medium,High,6,Bug found in integration test,,Apply patch,Retest integration,Open,Week 11,Integration logs,Quality control,https://docs.example.com/integration-bug,Bug in 2021,Primary,High,Monitoring,,,,?,?,,?
R073,Failed acceptance test,Acceptance criteria not met during QA,Quality,Testing,Network Infrastructure,QA Team,Industrial Zone Connectivity,IZC-004,Testing,Monitoring & Controlling,QA Lead,Stakeholders,Week 11,High,High,9,Test results below threshold,,Identify root cause,Retest after fix,Open,Week 12,Test logs,Quality enforcement,https://docs.example.com/acceptance-fail,Fail in 2020,Primary,High,Monitoring,,,,?,?,,?
R074,Missing as-built drawings,Final as-built documentation not prepared before acceptance,Quality,Documentation,Network Infrastructure,QA Team,Industrial Zone Connectivity,IZC-004,Testing,Monitoring & Controlling,QA Lead,Stakeholders,Week 11,Medium,High,6,No updated drawings in repository,,Prepare as-built set,Submit for approval,Open,Week 12,Doc review,Documentation control,https://docs.example.com/missing-asbuilt,Similar gap in 2022,Primary,High,Documentation,,,,,,?,
R075,Acceptance criteria misinterpretation,Stakeholders apply incorrect acceptance standards,Quality,Compliance,Network Infrastructure,QA Team,Industrial Zone Connectivity,IZC-004,Testing,Monitoring & Controlling,QA Lead,Stakeholders,Week 11,Medium,High,6,Standards mismatch noted,,Clarify acceptance checklist,Align with contract,Open,Week 12,Acceptance review,Compliance enforcement,https://docs.example.com/criteria-error,Case in 2021,Primary,High,Controlling,,,,?,?,?,?
R076,Preventive maintenance schedule gap,Maintenance plan missing critical inspections,Maintenance,Planning,Network Infrastructure,Operations Team,Industrial Zone Connectivity,IZC-004,Maintenance,Closing,Maintenance Lead,Stakeholders,Week 13,Medium,Medium,4,Missing inspection tasks,,Revise schedule,Train maintenance staff,Open,Week 14,Plan review,Compliance check,https://docs.example.com/maintenance-gap,Gap in 2020,Primary,Medium,Documentation,,,,,,?,
R077,Security breach risk,Unauthorized access to site during maintenance,Maintenance,Security,Network Infrastructure,Operations Team,Industrial Zone Connectivity,IZC-004,Maintenance,Closing,Maintenance Lead,Security Contractor,Week 13,High,High,9,Access control failure,,Upgrade locks,Implement ID checks,Open,Week 14,Security audit,Security enforcement,https://docs.example.com/security-breach,Breach in 2021,Primary,High,Monitoring,,,,?,?,,?
R078,Spare parts shortage,Insufficient spare parts for maintenance tasks,Maintenance,Logistics,Network Infrastructure,Operations Team,Industrial Zone Connectivity,IZC-004,Maintenance,Closing,Maintenance Lead,Vendor,Week 13,Medium,High,6,Inventory below threshold,,Reorder parts,Use alternate supplier,Open,Week 14,Inventory tracking,Logistics control,https://docs.example.com/spare-parts-shortage,Shortage in 2023,Primary,High,Response Planning,,?,?,?,,?,
R079,Preventive maintenance training gap,Maintenance staff not trained on new equipment,Maintenance,Training,Network Infrastructure,Operations Team,Industrial Zone Connectivity,IZC-004,Maintenance,Closing,Maintenance Lead,Stakeholders,Week 13,Medium,Medium,4,Training records incomplete,,Conduct refresher training,Update manuals,Open,Week 14,Training review,Compliance check,https://docs.example.com/training-gap,Gap in 2021,Primary,Medium,Documentation,,,,,,?,
R080,Obsolete firmware risk,"Equipment firmware outdated, causing performance issues",Maintenance,Technical,Network Infrastructure,Operations Team,Industrial Zone Connectivity,IZC-004,Maintenance,Closing,Maintenance Lead,Vendor,Week 13,Medium,High,6,Firmware version unsupported,,Update firmware,Test performance,Open,Week 14,Firmware audit,Quality control,https://docs.example.com/firmware-risk,Similar in 2020,Primary,High,Monitoring,,,,?,?,,?
R081,Permit approval delay,Municipal permit takes longer than expected,Requirements,Regulatory,Network Infrastructure,SAQ Team,Data Center Link Integration,DCLI-005,Requirements,Initiating,SAQ Lead,Municipal Authority,Week 1,High,High,9,Authority backlog noted,,Follow up with authority,Adjust schedule,Open,Week 2,Permit tracking,Regulatory enforcement,https://docs.example.com/permit-delay,Similar delay in 2022,Primary,High,Risk Identification,?,,,,,?,
R082,Landowner dispute,Landowner refuses rooftop site access,Requirements,Legal,Network Infrastructure,SAQ Team,Data Center Link Integration,DCLI-005,Requirements,Initiating,SAQ Lead,Landowner,Week 1,High,High,9,Dispute raised during negotiation,,Engage legal team,Identify alternate site,Open,Week 2,Stakeholder meeting,Legal enforcement,https://docs.example.com/land-dispute,Case in 2021,Primary,High,Risk Identification,?,,,,,?,
R083,Environmental clearance rejection,Environmental permit denied due to protected zone,Requirements,Environmental,Network Infrastructure,SAQ Team,Data Center Link Integration,DCLI-005,Requirements,Planning,SAQ Lead,Environmental Authority,Week 2,High,High,9,Protected area identified,,Relocate site,Apply for exemption,Open,Week 3,Permit tracking,Environmental compliance,https://docs.example.com/env-clearance,Similar in 2020,Primary,High,Response Planning,,?,?,?,,?,
R084,Foundation depth error,Monopole foundation depth below design spec,Construction,Quality,Network Infrastructure,Civil Works Team,Data Center Link Integration,DCLI-005,Implementation,Executing,Civil Supervisor,Contractor,Week 5,Medium,High,6,Inspection found shallow depth,,Excavate deeper,Recast foundation,Open,Week 6,Foundation survey,Quality enforcement,https://docs.example.com/foundation-error,Error in 2023,Primary,High,Controlling,,,,?,?,?,?
R085,Anchor bolt misalignment,Anchor bolts for self?supporting tower misaligned,Construction,Quality,Network Infrastructure,Civil Works Team,Data Center Link Integration,DCLI-005,Implementation,Executing,Civil Supervisor,Contractor,Week 6,Medium,High,6,Template shift during casting,,Realign bolts,Retest alignment,Open,Week 7,Alignment check,Quality enforcement,https://docs.example.com/bolt-misalignment,Similar in 2021,Primary,High,Controlling,,,,?,?,?,?
R086,Rooftop wind uplift risk,Non?penetrating pole at risk in high winds,Construction,Safety,Network Infrastructure,Civil Works Team,Data Center Link Integration,DCLI-005,Implementation,Executing,Civil Supervisor,Structural Engineer,Week 6,Medium,High,6,Wind load calc exceeded,,Add ballast,Install tie?downs,Open,Week 7,Wind testing,Safety enforcement,https://docs.example.com/wind-uplift,Similar in 2020,Primary,High,Monitoring,,,,?,?,,?
R087,Improper sealing around mounts,Water leakage risk at rooftop wall mount,Construction,Environmental,Network Infrastructure,Civil Works Team,Data Center Link Integration,DCLI-005,Implementation,Executing,Civil Supervisor,Contractor,Week 7,Medium,High,6,Sealant gaps found,,Apply proper sealant,Retest for leaks,Open,Week 8,Leak testing,Environmental control,https://docs.example.com/mount-sealing,Leak case in 2021,Primary,High,Monitoring,,,,?,?,,?
R088,Improper grounding of racks,Grounding not compliant with electrical code,Electrical,Safety,Network Infrastructure,Electrical Works Team,Data Center Link Integration,DCLI-005,Implementation,Executing,Electrical Supervisor,Contractor,Week 8,High,High,9,Inspection found missing ground,,Install proper grounding,Retest compliance,Open,Week 9,Electrical inspection,Safety enforcement,https://docs.example.com/grounding-error,Grounding issue in 2022,Primary,High,Monitoring,,,,?,?,,?
R089,Power cable insulation failure,Insulation damaged during installation,Electrical,Quality,Network Infrastructure,Electrical Works Team,Data Center Link Integration,DCLI-005,Implementation,Executing,Electrical Supervisor,Contractor,Week 8,Medium,High,6,Visual inspection found damage,,Replace cable,Retest insulation,Open,Week 9,Cable testing,Quality enforcement,https://docs.example.com/cable-insulation,Failure in 2020,Primary,High,Controlling,,,,?,?,?,?
R090,Delay in electrical panel installation,Panels delivered late to site,Electrical,Logistics,Network Infrastructure,Electrical Works Team,Data Center Link Integration,DCLI-005,Implementation,Executing,Electrical Supervisor,Vendor,Week 8,Medium,Medium,4,Vendor shipment delayed,,Reschedule installation,Use backup panels,Open,Week 9,Delivery tracking,Logistics control,https://docs.example.com/panel-delay,Delay in 2021,Primary,Medium,Response Planning,,?,?,?,,?,
R091,Fiber splice loss above limit,High dB loss at splice points,Technical,Fiber,Network Infrastructure,Telecom Implementation Team,Data Center Link Integration,DCLI-005,Implementation,Executing,Telecom Supervisor,Contractor,Week 9,Medium,High,6,OTDR test shows high loss,Optical budget calc,Re-splice fibers,Replace connectors,Open,Week 10,Optical testing,Performance tuning,https://docs.example.com/splice-loss,Similar in 2023,Primary,High,Analysis – Quantitative,,?,?,,,?,
R092,GSM antenna misalignment,Antenna not aligned to design azimuth,Technical,GSM,Network Infrastructure,Telecom Implementation Team,Data Center Link Integration,DCLI-005,Implementation,Executing,Telecom Supervisor,Contractor,Week 9,Medium,High,6,Alignment check failed,,Realign antenna,Retest coverage,Open,Week 10,Signal testing,Quality enforcement,https://docs.example.com/antenna-misalignment,Misalignment in 2020,Primary,High,Controlling,,,,?,?,?,?
R093,Integration software bug,Software error during site integration,Technical,Integration,Network Infrastructure,Telecom Implementation Team,Data Center Link Integration,DCLI-005,Implementation,Executing,Telecom Supervisor,Vendor,Week 10,Medium,High,6,Bug found in integration test,,Apply patch,Retest integration,Open,Week 11,Integration logs,Quality control,https://docs.example.com/integration-bug,Bug in 2021,Primary,High,Monitoring,,,,?,?,,?
R094,Failed acceptance test,Acceptance criteria not met during QA,Quality,Testing,Network Infrastructure,QA Team,Data Center Link Integration,DCLI-005,Testing,Monitoring & Controlling,QA Lead,Stakeholders,Week 11,High,High,9,Test results below threshold,,Identify root cause,Retest after fix,Open,Week 12,Test logs,Quality enforcement,https://docs.example.com/acceptance-fail,Fail in 2022,Primary,High,Monitoring,,,,?,?,,?
R095,Missing as-built drawings,Final as-built documentation not prepared before acceptance,Quality,Documentation,Network Infrastructure,QA Team,Data Center Link Integration,DCLI-005,Testing,Monitoring & Controlling,QA Lead,Stakeholders,Week 11,Medium,High,6,No updated drawings in repository,,Prepare as-built set,Submit for approval,Open,Week 12,Doc review,Documentation control,https://docs.example.com/missing-asbuilt,Similar gap in 2020,Primary,High,Documentation,,,,,,?,
R096,Acceptance criteria misinterpretation,Stakeholders apply incorrect acceptance standards,Quality,Compliance,Network Infrastructure,QA Team,Data Center Link Integration,DCLI-005,Testing,Monitoring & Controlling,QA Lead,Stakeholders,Week 11,Medium,High,6,Standards mismatch noted,,Clarify acceptance checklist,Align with contract,Open,Week 12,Acceptance review,Compliance enforcement,https://docs.example.com/criteria-error,Case in 2021,Primary,High,Controlling,,,,?,?,?,?
R097,Preventive maintenance schedule gap,Maintenance plan missing critical inspections,Maintenance,Planning,Network Infrastructure,Operations Team,Data Center Link Integration,DCLI-005,Maintenance,Closing,Maintenance Lead,Stakeholders,Week 13,Medium,Medium,4,Missing inspection tasks,,Revise schedule,Train maintenance staff,Open,Week 14,Plan review,Compliance check,https://docs.example.com/maintenance-gap,Gap in 2023,Primary,Medium,Documentation,,,,,,?,
R098,Security breach risk,Unauthorized access to site during maintenance,Maintenance,Security,Network Infrastructure,Operations Team,Data Center Link Integration,DCLI-005,Maintenance,Closing,Maintenance Lead,Security Contractor,Week 13,High,High,9,Access control failure,,Upgrade locks,Implement ID checks,Open,Week 14,Security audit,Security enforcement,https://docs.example.com/security-breach,Breach in 2021,Primary,High,Monitoring,,,,?,?,,?
R099,Spare parts shortage,Insufficient spare parts for maintenance tasks,Maintenance,Logistics,Network Infrastructure,Operations Team,Data Center Link Integration,DCLI-005,Maintenance,Closing,Maintenance Lead,Vendor,Week 13,Medium,High,6,Inventory below threshold,,Reorder parts,Use alternate supplier,Open,Week 14,Inventory tracking,Logistics control,https://docs.example.com/spare-parts-shortage,Shortage in 2020,Primary,High,Response Planning,,?,?,?,,?,
R100,Preventive maintenance training gap,Maintenance staff not trained on new equipment,Maintenance,Training,Network Infrastructure,Operations Team,Data Center Link Integration,DCLI-005,Maintenance,Closing,Maintenance Lead,Stakeholders,Week 13,Medium,Medium,4,Training records incomplete,,Conduct refresher training,Update manuals,Open,Week 14,Training review,Compliance check,https://docs.example.com/training-gap,Gap in 2023,Primary,Medium,Documentation,,,,,,?,
R101,Permit processing delay,Authority backlog slows Greenfield site approval,Requirements,Regulatory,Network Infrastructure,SAQ Team,Metro Fiber Expansion,NFX-004,Requirements,Initiating,SAQ Lead,Municipal Authority,Week 1,High,High,9,Permit queue extended,,Follow up with authority,Adjust schedule,Open,Week 2,Permit tracking,Regulatory enforcement,https://docs.example.com/permit-delay,Similar delay in 2021,Primary,High,Risk Identification,?,,,,,?,
R102,Boundary survey discrepancy,Survey data conflicts with municipal records,Requirements,Technical,Network Infrastructure,SAQ Team,Metro Fiber Expansion,NFX-004,Requirements,Planning,SAQ Lead,Survey Contractor,Week 2,Medium,High,6,Boundary mismatch found,,Resurvey site,Update maps,Open,Week 3,Survey review,Quality control,https://docs.example.com/survey-error,Error in 2020,Primary,Medium,Analysis – Qualitative,,?,,,,?,
R103,Community protest,Residents object to rooftop tower installation,Requirements,Stakeholder,Network Infrastructure,SAQ Team,Metro Fiber Expansion,NFX-004,Requirements,Planning,SAQ Lead,Community Group,Week 3,Medium,High,6,Objection raised in meeting,,Engage community,Offer mitigation plan,Open,Week 4,Stakeholder engagement,Conflict resolution,https://docs.example.com/community-opposition,Similar in 2022,Primary,High,Response Planning,,?,?,?,,?,
R104,Foundation settlement risk,Soil compaction inadequate for monopole base,Construction,Physical,Network Infrastructure,Civil Works Team,Metro Fiber Expansion,NFX-004,Implementation,Executing,Civil Supervisor,Geotechnical Engineer,Week 5,High,High,9,Settlement observed in test pit,,Recompact soil,Reinforce foundation,Open,Week 6,Foundation survey,Structural compliance,https://docs.example.com/foundation-settlement,Similar in 2020,Primary,High,Monitoring,,,,?,?,,?
R105,Incorrect tower plumb,Tower tilt exceeds tolerance during erection,Construction,Quality,Network Infrastructure,Civil Works Team,Metro Fiber Expansion,NFX-004,Implementation,Executing,Civil Supervisor,Contractor,Week 6,Medium,High,6,Plumb check failed,,Realign tower,Retest alignment,Open,Week 7,Alignment check,Quality enforcement,https://docs.example.com/tower-plumb-error,Error in 2023,Primary,High,Controlling,,,,?,?,?,?
R106,Rooftop wind uplift risk,Non?penetrating pole at risk in high winds,Construction,Safety,Network Infrastructure,Civil Works Team,Metro Fiber Expansion,NFX-004,Implementation,Executing,Civil Supervisor,Structural Engineer,Week 6,Medium,High,6,Wind load calc exceeded,,Add ballast,Install tie?downs,Open,Week 7,Wind testing,Safety enforcement,https://docs.example.com/wind-uplift,Similar in 2021,Primary,High,Monitoring,,,,?,?,,?
R107,Improper sealing around mounts,Water leakage risk at rooftop wall mount,Construction,Environmental,Network Infrastructure,Civil Works Team,Metro Fiber Expansion,NFX-004,Implementation,Executing,Civil Supervisor,Contractor,Week 7,Medium,High,6,Sealant gaps found,,Apply proper sealant,Retest for leaks,Open,Week 8,Leak testing,Environmental control,https://docs.example.com/mount-sealing,Leak case in 2020,Primary,High,Monitoring,,,,?,?,,?
R108,Improper grounding of racks,Grounding not compliant with electrical code,Electrical,Safety,Network Infrastructure,Electrical Works Team,Metro Fiber Expansion,NFX-004,Implementation,Executing,Electrical Supervisor,Contractor,Week 8,High,High,9,Inspection found missing ground,,Install proper grounding,Retest compliance,Open,Week 9,Electrical inspection,Safety enforcement,https://docs.example.com/grounding-error,Grounding issue in 2022,Primary,High,Monitoring,,,,?,?,,?
R109,Power cable insulation failure,Insulation damaged during installation,Electrical,Quality,Network Infrastructure,Electrical Works Team,Metro Fiber Expansion,NFX-004,Implementation,Executing,Electrical Supervisor,Contractor,Week 8,Medium,High,6,Visual inspection found damage,,Replace cable,Retest insulation,Open,Week 9,Cable testing,Quality enforcement,https://docs.example.com/cable-insulation,Failure in 2020,Primary,High,Controlling,,,,?,?,?,?
R110,Delay in electrical panel installation,Panels delivered late to site,Electrical,Logistics,Network Infrastructure,Electrical Works Team,Metro Fiber Expansion,NFX-004,Implementation,Executing,Electrical Supervisor,Vendor,Week 8,Medium,Medium,4,Vendor shipment delayed,,Reschedule installation,Use backup panels,Open,Week 9,Delivery tracking,Logistics control,https://docs.example.com/panel-delay,Delay in 2021,Primary,Medium,Response Planning,,?,?,?,,?,
R111,Fiber splice loss above limit,High dB loss at splice points,Technical,Fiber,Network Infrastructure,Telecom Implementation Team,Metro Fiber Expansion,NFX-004,Implementation,Executing,Telecom Supervisor,Contractor,Week 9,Medium,High,6,OTDR test shows high loss,Optical budget calc,Re-splice fibers,Replace connectors,Open,Week 10,Optical testing,Performance tuning,https://docs.example.com/splice-loss,Similar in 2023,Primary,High,Analysis – Quantitative,,?,?,,,?,
R112,GSM antenna misalignment,Antenna not aligned to design azimuth,Technical,GSM,Network Infrastructure,Telecom Implementation Team,Metro Fiber Expansion,NFX-004,Implementation,Executing,Telecom Supervisor,Contractor,Week 9,Medium,High,6,Alignment check failed,,Realign antenna,Retest coverage,Open,Week 10,Signal testing,Quality enforcement,https://docs.example.com/antenna-misalignment,Misalignment in 2020,Primary,High,Controlling,,,,?,?,?,?
R113,Integration software bug,Software error during site integration,Technical,Integration,Network Infrastructure,Telecom Implementation Team,Metro Fiber Expansion,NFX-004,Implementation,Executing,Telecom Supervisor,Vendor,Week 10,Medium,High,6,Bug found in integration test,,Apply patch,Retest integration,Open,Week 11,Integration logs,Quality control,https://docs.example.com/integration-bug,Bug in 2021,Primary,High,Monitoring,,,,?,?,,?
R114,Failed acceptance test,Acceptance criteria not met during QA,Quality,Testing,Network Infrastructure,QA Team,Metro Fiber Expansion,NFX-004,Testing,Monitoring & Controlling,QA Lead,Stakeholders,Week 11,High,High,9,Test results below threshold,,Identify root cause,Retest after fix,Open,Week 12,Test logs,Quality enforcement,https://docs.example.com/acceptance-fail,Fail in 2022,Primary,High,Monitoring,,,,?,?,,?
R115,Missing as-built drawings,Final as-built documentation not prepared before acceptance,Quality,Documentation,Network Infrastructure,QA Team,Metro Fiber Expansion,NFX-004,Testing,Monitoring & Controlling,QA Lead,Stakeholders,Week 11,Medium,High,6,No updated drawings in repository,,Prepare as-built set,Submit for approval,Open,Week 12,Doc review,Documentation control,https://docs.example.com/missing-asbuilt,Similar gap in 2020,Primary,High,Documentation,,,,,,?,
R116,Acceptance criteria misinterpretation,Stakeholders apply incorrect acceptance standards,Quality,Compliance,Network Infrastructure,QA Team,Metro Fiber Expansion,NFX-004,Testing,Monitoring & Controlling,QA Lead,Stakeholders,Week 11,Medium,High,6,Standards mismatch noted,,Clarify acceptance checklist,Align with contract,Open,Week 12,Acceptance review,Compliance enforcement,https://docs.example.com/criteria-error,Case in 2021,Primary,High,Controlling,,,,?,?,?,?
R117,Preventive maintenance schedule gap,Maintenance plan missing critical inspections,Maintenance,Planning,Network Infrastructure,Operations Team,Metro Fiber Expansion,NFX-004,Maintenance,Closing,Maintenance Lead,Stakeholders,Week 13,Medium,Medium,4,Missing inspection tasks,,Revise schedule,Train maintenance staff,Open,Week 14,Plan review,Compliance check,https://docs.example.com/maintenance-gap,Gap in 2023,Primary,Medium,Documentation,,,,,,?,
R118,Security breach risk,Unauthorized access to site during maintenance,Maintenance,Security,Network Infrastructure,Operations Team,Metro Fiber Expansion,NFX-004,Maintenance,Closing,Maintenance Lead,Security Contractor,Week 13,High,High,9,Access control failure,,Upgrade locks,Implement ID checks,Open,Week 14,Security audit,Security enforcement,https://docs.example.com/security-breach,Breach in 2021,Primary,High,Monitoring,,,,?,?,,?
R119,Spare parts shortage,Insufficient spare parts for maintenance tasks,Maintenance,Logistics,Network Infrastructure,Operations Team,Metro Fiber Expansion,NFX-004,Maintenance,Closing,Maintenance Lead,Vendor,Week 13,Medium,High,6,Inventory below threshold,,Reorder parts,Use alternate supplier,Open,Week 14,Inventory tracking,Logistics control,https://docs.example.com/spare-parts-shortage,Shortage in 2020,Primary,High,Response Planning,,?,?,?,,?,
R120,Preventive maintenance training gap,Maintenance staff not trained on new equipment,Maintenance,Training,Network Infrastructure,Operations Team,Metro Fiber Expansion,NFX-004,Maintenance,Closing,Maintenance Lead,Stakeholders,Week 13,Medium,Medium,4,Training records incomplete,,Conduct refresher training,Update manuals,Open,Week 14,Training review,Compliance check,https://docs.example.com/training-gap,Gap in 2023,Primary,Medium,Documentation,,,,,,?,
R121,Permit approval delay,Municipal permit takes longer than expected,Requirements,Regulatory,Network Infrastructure,SAQ Team,Regional Backbone Upgrade,RBU-004,Requirements,Initiating,SAQ Lead,Municipal Authority,Week 1,High,High,9,Authority backlog noted,,Follow up with authority,Adjust schedule,Open,Week 2,Permit tracking,Regulatory enforcement,https://docs.example.com/permit-delay,Similar delay in 2023,Primary,High,Risk Identification,?,,,,,?,
R122,Landowner dispute,Landowner refuses rooftop site access,Requirements,Legal,Network Infrastructure,SAQ Team,Regional Backbone Upgrade,RBU-004,Requirements,Initiating,SAQ Lead,Landowner,Week 1,High,High,9,Dispute raised during negotiation,,Engage legal team,Identify alternate site,Open,Week 2,Stakeholder meeting,Legal enforcement,https://docs.example.com/land-dispute,Case in 2021,Primary,High,Risk Identification,?,,,,,?,
R123,Environmental clearance rejection,Environmental permit denied due to protected zone,Requirements,Environmental,Network Infrastructure,SAQ Team,Regional Backbone Upgrade,RBU-004,Requirements,Planning,SAQ Lead,Environmental Authority,Week 2,High,High,9,Protected area identified,,Relocate site,Apply for exemption,Open,Week 3,Permit tracking,Environmental compliance,https://docs.example.com/env-clearance,Similar in 2020,Primary,High,Response Planning,,?,?,?,,?,
R124,Foundation depth error,Monopole foundation depth below design spec,Construction,Quality,Network Infrastructure,Civil Works Team,Regional Backbone Upgrade,RBU-004,Implementation,Executing,Civil Supervisor,Contractor,Week 5,Medium,High,6,Inspection found shallow depth,,Excavate deeper,Recast foundation,Open,Week 6,Foundation survey,Quality enforcement,https://docs.example.com/foundation-error,Error in 2022,Primary,High,Controlling,,,,?,?,?,?
R125,Anchor bolt misalignment,Anchor bolts for self?supporting tower misaligned,Construction,Quality,Network Infrastructure,Civil Works Team,Regional Backbone Upgrade,RBU-004,Implementation,Executing,Civil Supervisor,Contractor,Week 6,Medium,High,6,Template shift during casting,,Realign bolts,Retest alignment,Open,Week 7,Alignment check,Quality enforcement,https://docs.example.com/bolt-misalignment,Similar in 2021,Primary,High,Controlling,,,,?,?,?,?
R126,Rooftop wind uplift risk,Non?penetrating pole at risk in high winds,Construction,Safety,Network Infrastructure,Civil Works Team,Regional Backbone Upgrade,RBU-004,Implementation,Executing,Civil Supervisor,Structural Engineer,Week 6,Medium,High,6,Wind load calc exceeded,,Add ballast,Install tie?downs,Open,Week 7,Wind testing,Safety enforcement,https://docs.example.com/wind-uplift,Similar in 2020,Primary,High,Monitoring,,,,?,?,,?
R127,Improper sealing around mounts,Water leakage risk at rooftop wall mount,Construction,Environmental,Network Infrastructure,Civil Works Team,Regional Backbone Upgrade,RBU-004,Implementation,Executing,Civil Supervisor,Contractor,Week 7,Medium,High,6,Sealant gaps found,,Apply proper sealant,Retest for leaks,Open,Week 8,Leak testing,Environmental control,https://docs.example.com/mount-sealing,Leak case in 2021,Primary,High,Monitoring,,,,?,?,,?
R128,Improper grounding of racks,Grounding not compliant with electrical code,Electrical,Safety,Network Infrastructure,Electrical Works Team,Regional Backbone Upgrade,RBU-004,Implementation,Executing,Electrical Supervisor,Contractor,Week 8,High,High,9,Inspection found missing ground,,Install proper grounding,Retest compliance,Open,Week 9,Electrical inspection,Safety enforcement,https://docs.example.com/grounding-error,Grounding issue in 2023,Primary,High,Monitoring,,,,?,?,,?
R129,Power cable insulation failure,Insulation damaged during installation,Electrical,Quality,Network Infrastructure,Electrical Works Team,Regional Backbone Upgrade,RBU-004,Implementation,Executing,Electrical Supervisor,Contractor,Week 8,Medium,High,6,Visual inspection found damage,,Replace cable,Retest insulation,Open,Week 9,Cable testing,Quality enforcement,https://docs.example.com/cable-insulation,Failure in 2020,Primary,High,Controlling,,,,?,?,?,?
R130,Delay in electrical panel installation,Panels delivered late to site,Electrical,Logistics,Network Infrastructure,Electrical Works Team,Regional Backbone Upgrade,RBU-004,Implementation,Executing,Electrical Supervisor,Vendor,Week 8,Medium,Medium,4,Vendor shipment delayed,,Reschedule installation,Use backup panels,Open,Week 9,Delivery tracking,Logistics control,https://docs.example.com/panel-delay,Delay in 2021,Primary,Medium,Response Planning,,?,?,?,,?,
R131,Fiber splice loss above limit,High dB loss at splice points,Technical,Fiber,Network Infrastructure,Telecom Implementation Team,Regional Backbone Upgrade,RBU-004,Implementation,Executing,Telecom Supervisor,Contractor,Week 9,Medium,High,6,OTDR test shows high loss,Optical budget calc,Re-splice fibers,Replace connectors,Open,Week 10,Optical testing,Performance tuning,https://docs.example.com/splice-loss,Similar in 2022,Primary,High,Analysis – Quantitative,,?,?,,,?,
R132,GSM antenna misalignment,Antenna not aligned to design azimuth,Technical,GSM,Network Infrastructure,Telecom Implementation Team,Regional Backbone Upgrade,RBU-004,Implementation,Executing,Telecom Supervisor,Contractor,Week 9,Medium,High,6,Alignment check failed,,Realign antenna,Retest coverage,Open,Week 10,Signal testing,Quality enforcement,https://docs.example.com/antenna-misalignment,Misalignment in 2020,Primary,High,Controlling,,,,?,?,?,?
R133,Integration software bug,Software error during site integration,Technical,Integration,Network Infrastructure,Telecom Implementation Team,Regional Backbone Upgrade,RBU-004,Implementation,Executing,Telecom Supervisor,Vendor,Week 10,Medium,High,6,Bug found in integration test,,Apply patch,Retest integration,Open,Week 11,Integration logs,Quality control,https://docs.example.com/integration-bug,Bug in 2021,Primary,High,Monitoring,,,,?,?,,?
